Rang,Nom,Prix,Capitalisation,Volume 24h
,Bitcoin,"$95,607.73","$1,894,465,840,518","$28,406,236,734
297.27K BTC"
,Ethereum,"$2,679.36","$323,067,973,647","$24,899,609,389
9.29M ETH"
,XRP,$2.58,"$148,901,034,462","$4,793,647,028
1.86B XRP"
,Tether,$0.9998,"$141,731,249,801","$76,198,855,686
76.21B USDT"
,BNB,$654.78,"$93,291,077,654","$1,952,088,465
2.98M BNB"
,Solana,$168.42,"$82,273,588,032","$5,830,216,155
34.61M SOL"
,USDC,$0.9999,"$56,521,048,669","$7,067,449,328
7.06B USDC"
,Dogecoin,$0.2512,"$37,201,873,320","$1,502,442,059
5.98B DOGE"
,Cardano,$0.7729,"$27,205,342,043","$933,670,810
1.20B ADA"
,TRON,$0.2357,"$20,290,192,791","$631,419,946
2.67B TRX"
,Chainlink,$18.01,"$11,491,490,774","$528,230,382
29.33M LINK"
,Stellar,$0.3248,"$9,941,918,961","$205,616,693
633.13M XLM"
,Avalanche,$23.95,"$9,910,028,441","$341,937,582
14.27M AVAX"
,Sui,$3.07,"$9,473,983,716","$838,120,899
273.33M SUI"
,Litecoin,$125.31,"$9,466,587,257","$1,112,856,175
8.88M LTC"
